datetime,주오염물질,등급,지수,등급,PM10,등급,PM2.5,등급,오존,등급,이산화질소,등급,일산화탄소,등급,아황산가스
2024-10-25:19,이산화질소,좋음,72,좋음,20,좋음,12,좋음,0.0032,보통,0.0432,좋음,0.65,좋음,0.0015
2024-10-25:18,이산화질소,좋음,59,좋음,16,좋음,9,좋음,0.0133,보통,0.0348,좋음,0.52,좋음,0.0015
2024-10-25:17,오존,좋음,43,좋음,14,좋음,7,좋음,0.0258,좋음,0.0245,좋음,0.39,좋음,0.0015
2024-10-25:16,오존,좋음,54,좋음,13,좋음,7,보통,0.0341,좋음,0.0181,좋음,0.33,좋음,0.0016
2024-10-25:15,오존,좋음,60,좋음,15,좋음,8,보통,0.0406,좋음,0.0133,좋음,0.33,좋음,0.0014
2024-10-25:14,오존,좋음,59,좋음,18,좋음,11,보통,0.04,좋음,0.0128,좋음,0.38,좋음,0.0013
2024-10-25:13,오존,좋음,57,좋음,22,좋음,15,보통,0.0378,좋음,0.013,좋음,0.4,좋음,0.0013
2024-10-25:12,PM2.5,보통,56,좋음,25,보통,18,좋음,0.0293,좋음,0.0159,좋음,0.42,좋음,0.0013
2024-10-25:11,PM2.5,보통,64,좋음,28,보통,21,좋음,0.0219,좋음,0.018,좋음,0.46,좋음,0.0013
2024-10-25:10,PM2.5,보통,66,좋음,28,보통,22,좋음,0.0094,좋음,0.0252,좋음,0.56,좋음,0.0013
2024-10-25:09,PM2.5,보통,66,좋음,29,보통,22,좋음,0.0038,좋음,0.0295,좋음,0.64,좋음,0.0014
2024-10-25:08,PM2.5,보통,69,좋음,30,보통,23,좋음,0.0034,좋음,0.0284,좋음,0.59,좋음,0.0013
2024-10-25:07,PM2.5,보통,72,보통,32,보통,24,좋음,0.0034,좋음,0.0293,좋음,0.58,좋음,0.0013
2024-10-25:06,PM2.5,보통,74,보통,34,보통,25,좋음,0.0074,좋음,0.0268,좋음,0.59,좋음,0.0013
2024-10-25:05,PM2.5,보통,77,보통,36,보통,26,좋음,0.0121,좋음,0.024,좋음,0.59,좋음,0.0013
2024-10-25:04,PM2.5,보통,79,보통,37,보통,27,좋음,0.0153,좋음,0.0214,좋음,0.58,좋음,0.0013
2024-10-25:03,PM2.5,보통,77,보통,38,보통,26,좋음,0.0099,좋음,0.0279,좋음,0.6,좋음,0.0013
2024-10-25:02,PM2.5,보통,74,보통,38,보통,25,좋음,0.0017,보통,0.0374,좋음,0.75,좋음,0.0014
2024-10-25:01,PM2.5,보통,74,보통,39,보통,25,좋음,0.0029,보통,0.04,좋음,0.79,좋음,0.0015
2024-10-24:24,PM2.5,보통,72,보통,39,보통,24,좋음,0.0031,보통,0.0426,좋음,0.78,좋음,0.0015
2024-10-24:23,이산화질소,보통,79,보통,38,보통,23,좋음,0.0012,보통,0.0471,좋음,0.84,좋음,0.0015
2024-10-24:22,이산화질소,보통,81,보통,36,보통,25,좋음,0.0018,보통,0.0487,좋음,0.8,좋음,0.0015
2024-10-24:21,PM2.5,보통,74,보통,35,보통,25,좋음,0.0119,보통,0.039,좋음,0.77,좋음,0.0015
2024-10-24:20,PM2.5,보통,64,보통,31,보통,21,좋음,0.0224,보통,0.0323,좋음,0.72,좋음,0.0014
2024-10-24:19,PM2.5,보통,56,좋음,27,보통,18,보통,0.0303,좋음,0.028,좋음,0.63,좋음,0.0016
2024-10-24:18,오존,좋음,65,좋음,23,좋음,15,보통,0.0474,좋음,0.0167,좋음,0.48,좋음,0.0017
2024-10-24:17,오존,좋음,71,좋음,20,좋음,11,보통,0.0546,좋음,0.0136,좋음,0.44,좋음,0.0016
2024-10-24:16,오존,좋음,73,좋음,18,좋음,11,보통,0.0564,좋음,0.013,좋음,0.43,좋음,0.0018
2024-10-24:15,오존,좋음,70,좋음,18,좋음,12,보통,0.0536,좋음,0.0115,좋음,0.45,좋음,0.0017
2024-10-24:14,오존,좋음,65,좋음,19,좋음,13,보통,0.0473,좋음,0.0127,좋음,0.46,좋음,0.0017
2024-10-24:13,오존,좋음,59,좋음,20,좋음,15,보통,0.0402,좋음,0.0146,좋음,0.46,좋음,0.0017
2024-10-24:12,PM2.5,보통,51,좋음,21,보통,16,좋음,0.0264,좋음,0.0198,좋음,0.49,좋음,0.0014
2024-10-24:11,PM2.5,보통,54,좋음,22,보통,17,좋음,0.0231,좋음,0.021,좋음,0.49,좋음,0.0014
2024-10-24:10,PM2.5,보통,54,좋음,22,보통,17,좋음,0.0166,좋음,0.0253,좋음,0.52,좋음,0.0014
2024-10-24:09,PM2.5,보통,51,좋음,21,보통,16,좋음,0.0065,좋음,0.0296,좋음,0.57,좋음,0.0013
2024-10-24:08,PM2.5,보통,51,좋음,22,보통,16,좋음,0.0027,좋음,0.0289,좋음,0.59,좋음,0.0013
2024-10-24:07,PM2.5,보통,54,좋음,24,보통,17,좋음,0.0014,좋음,0.0294,좋음,0.56,좋음,0.0013
2024-10-24:06,PM2.5,보통,54,좋음,24,보통,17,좋음,0.0011,좋음,0.0255,좋음,0.56,좋음,0.0013
2024-10-24:05,PM2.5,보통,56,좋음,24,보통,18,좋음,0.0039,좋음,0.0231,좋음,0.53,좋음,0.0013
2024-10-24:04,PM2.5,보통,54,좋음,23,보통,17,좋음,0.0107,좋음,0.0209,좋음,0.54,좋음,0.0013
2024-10-24:03,PM2.5,보통,54,좋음,23,보통,17,좋음,0.0103,좋음,0.0229,좋음,0.56,좋음,0.0012
2024-10-24:02,PM2.5,보통,51,좋음,22,보통,16,좋음,0.0207,좋음,0.0163,좋음,0.49,좋음,0.0013
2024-10-24:01,PM2.5,좋음,50,좋음,22,좋음,15,좋음,0.0234,좋음,0.0148,좋음,0.5,좋음,0.0013
2024-10-23:24,PM2.5,좋음,50,좋음,21,좋음,15,좋음,0.0176,좋음,0.0211,좋음,0.54,좋음,0.0014
2024-10-23:23,PM2.5,좋음,43,좋음,21,좋음,13,좋음,0.0197,좋음,0.0214,좋음,0.52,좋음,0.0016
2024-10-23:22,오존,좋음,45,좋음,21,좋음,13,좋음,0.0272,좋음,0.0171,좋음,0.47,좋음,0.0015
2024-10-23:21,오존,좋음,48,좋음,21,좋음,12,좋음,0.0289,좋음,0.0178,좋음,0.49,좋음,0.0013
2024-10-23:20,오존,좋음,47,좋음,19,좋음,12,좋음,0.0284,좋음,0.0181,좋음,0.48,좋음,0.0013
2024-10-23:19,오존,좋음,53,좋음,18,좋음,11,보통,0.0331,좋음,0.0142,좋음,0.46,좋음,0.0014
2024-10-23:18,오존,좋음,58,좋음,16,좋음,10,보통,0.0385,좋음,0.0103,좋음,0.43,좋음,0.0013
2024-10-23:17,오존,좋음,62,좋음,15,좋음,9,보통,0.0432,좋음,0.0069,좋음,0.41,좋음,0.0013
2024-10-23:16,오존,좋음,63,좋음,16,좋음,9,보통,0.0444,좋음,0.0062,좋음,0.4,좋음,0.0013
2024-10-23:15,오존,좋음,63,좋음,17,좋음,9,보통,0.0447,좋음,0.0056,좋음,0.4,좋음,0.0014
2024-10-23:14,오존,좋음,61,좋음,18,좋음,9,보통,0.0429,좋음,0.0062,좋음,0.4,좋음,0.0014
2024-10-23:13,오존,좋음,59,좋음,17,좋음,8,보통,0.0401,좋음,0.0076,좋음,0.4,좋음,0.0016
